#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         448     2.61298     2.61476 3.70371e-05
         449       2.613     2.61475 3.71611e-05
         450     2.61302     2.61475 3.72768e-05
         451     2.61305     2.61475 3.73843e-05
         452     2.61307     2.61474 3.74844e-05
         453      2.6131     2.61474 3.75766e-05
         454     2.61313     2.61473 3.76608e-05
         455     2.61316     2.61473 3.77376e-05
         456     2.61318     2.61473 3.78073e-05
         457     2.61321     2.61472 3.78698e-05
         458     2.61324     2.61472 3.79258e-05
         459     2.61327     2.61472 3.79748e-05
         460      2.6133     2.61471 3.80177e-05
         461     2.61332     2.61471 3.80549e-05
         462     2.61335     2.61471 3.80868e-05
         463     2.61337     2.61471 3.81142e-05
         464      2.6134      2.6147  3.8136e-05
         465     2.61342      2.6147 3.81536e-05
         466     2.61344      2.6147 3.81673e-05
         467     2.61346     2.61469 3.81781e-05
         468     2.61347     2.61469 3.81854e-05
         469      2.6135     2.61469 3.81881e-05
         470     2.61353     2.61469 3.81868e-05
         471     2.61354     2.61468 3.81831e-05
         472     2.61356     2.61468 3.81764e-05
         473     2.61358     2.61468 3.81664e-05
         474      2.6136     2.61468 3.81535e-05
         475     2.61363     2.61468 3.81372e-05
         476     2.61365     2.61467 3.81175e-05
         477     2.61367     2.61467 3.80951e-05
         478      2.6137     2.61467 3.80697e-05
         479     2.61373     2.61467 3.80404e-05
         480     2.61377     2.61467 3.80073e-05
         481      2.6138     2.61466 3.79712e-05
         482     2.61384     2.61466 3.79311e-05
         483     2.61387     2.61466 3.78877e-05
         484     2.61392     2.61466 3.78405e-05
         485     2.61396     2.61466 3.77901e-05
         486     2.61401     2.61466 3.77355e-05
         487     2.61406     2.61465 3.76778e-05
         488     2.61411     2.61465 3.76169e-05
         489     2.61417     2.61465 3.75532e-05
         490     2.61422     2.61465 3.74869e-05
         491     2.61428     2.61465 3.74181e-05
         492     2.61434     2.61465 3.73473e-05
         493      2.6144     2.61465 3.72749e-05
         494     2.61447     2.61465 3.72013e-05
         495     2.61453     2.61465 3.71269e-05
         496     2.61459     2.61465 3.70522e-05
         497     2.61465     2.61465 3.69777e-05
         498     2.61472     2.61465 3.69037e-05
         499     2.61478     2.61465 3.68306e-05
         500     2.61484     2.61465 3.67589e-05
         501      2.6149     2.61465 3.66888e-05
         502     2.61496     2.61465 3.66208e-05
         503     2.61501     2.61465 3.65549e-05
         504     2.61506     2.61465 3.64914e-05
         505     2.61511     2.61465 3.64303e-05
         506     2.61515     2.61465 3.63716e-05
         507     2.61519     2.61466 3.63149e-05
         508     2.61522     2.61466 3.62607e-05
         509     2.61526     2.61466 3.62086e-05
         510     2.61528     2.61466 3.61583e-05
         511     2.61531     2.61466 3.61097e-05
         512     2.61533     2.61466 3.60626e-05
         513     2.61534     2.61466 3.60165e-05
         514     2.61534     2.61466 3.59708e-05
         515     2.61534     2.61467 3.59251e-05
         516     2.61534     2.61467 3.58792e-05
         517     2.61533     2.61467 3.58327e-05
         518     2.61532     2.61467 3.57853e-05
         519     2.61529     2.61467 3.57364e-05
         520     2.61526     2.61467 3.56859e-05
         521     2.61523     2.61467 3.56336e-05
         522      2.6152     2.61467 3.55794e-05
         523     2.61516     2.61467 3.55235e-05
         524     2.61512     2.61468 3.54659e-05
         525     2.61508     2.61468 3.54067e-05
         526     2.61503     2.61468 3.53459e-05
         527     2.61498     2.61468 3.52835e-05
         528     2.61493     2.61468   3.522e-05
         529     2.61488     2.61468 3.51556e-05
         530     2.61484     2.61468 3.50905e-05
         531      2.6148     2.61468 3.50252e-05
         532     2.61476     2.61468 3.49597e-05
         533     2.61471     2.61468 3.48941e-05
         534     2.61467     2.61468 3.48288e-05
         535     2.61464     2.61468 3.47637e-05
         536     2.61461     2.61468 3.46991e-05
         537     2.61459     2.61468 3.46349e-05
         538     2.61457     2.61468 3.45711e-05
         539     2.61455     2.61468 3.45078e-05
         540     2.61454     2.61468 3.44448e-05
         541     2.61454     2.61468 3.43821e-05
         542     2.61454     2.61468 3.43196e-05
         543     2.61454     2.61468 3.42573e-05
         544     2.61455     2.61468 3.41951e-05
         545     2.61457     2.61468  3.4133e-05
         546     2.61459     2.61468 3.40709e-05
         547     2.61461     2.61468 3.40088e-05
         548     2.61464     2.61468 3.39468e-05
         549     2.61468     2.61468 3.38849e-05
         550     2.61471     2.61468 3.38234e-05
         551     2.61475     2.61468 3.37623e-05
         552     2.61479     2.61468 3.37017e-05
         553     2.61484     2.61468 3.36421e-05
         554     2.61488     2.61468 3.35834e-05
         555     2.61494     2.61468 3.35261e-05
         556     2.61499     2.61468 3.34704e-05
         557     2.61504     2.61468 3.34165e-05
         558     2.61509     2.61468 3.33647e-05
         559     2.61514     2.61468 3.33154e-05
         560      2.6152     2.61468 3.32688e-05
         561     2.61525     2.61468 3.32251e-05
         562     2.61531     2.61468 3.31846e-05
         563     2.61536     2.61469 3.31475e-05
         564     2.61541     2.61469 3.31138e-05
         565     2.61546     2.61469 3.30838e-05
         566     2.61552     2.61469 3.30577e-05
         567     2.61557     2.61469  3.3036e-05
         568     2.61562     2.61469 3.30186e-05
         569     2.61567     2.61469 3.30054e-05
         570     2.61572      2.6147 3.29963e-05
         571     2.61576      2.6147 3.29907e-05
         572      2.6158      2.6147  3.2989e-05
         573     2.61584      2.6147 3.29917e-05
         574     2.61588      2.6147 3.29976e-05
         575     2.61591     2.61471 3.30069e-05
         576     2.61594     2.61471 3.30191e-05
         577     2.61597     2.61471 3.30339e-05
         578     2.61599     2.61471 3.30504e-05
         579       2.616     2.61471 3.30681e-05
         580     2.61601     2.61472  3.3086e-05
         581     2.61601     2.61472 3.31041e-05
         582     2.61601     2.61472 3.31217e-05
         583     2.61601     2.61472 3.31383e-05
         584     2.61599     2.61473 3.31523e-05
         585     2.61598     2.61473 3.31646e-05
         586     2.61595     2.61473 3.31738e-05
         587     2.61592     2.61473 3.31789e-05
         588     2.61588     2.61473   3.318e-05
         589     2.61584     2.61474 3.31768e-05
         590      2.6158     2.61474 3.31691e-05
         591     2.61574     2.61474 3.31566e-05
         592     2.61569     2.61474 3.31393e-05
         593     2.61563     2.61474 3.31174e-05
         594     2.61557     2.61474 3.30913e-05
         595     2.61552     2.61475 3.30611e-05
         596     2.61546     2.61475 3.30274e-05
         597      2.6154     2.61475   3.299e-05
         598     2.61534     2.61475 3.29498e-05
         599     2.61528     2.61475 3.29069e-05
         600     2.61523     2.61475 3.28618e-05
         601     2.61518     2.61475 3.28149e-05
         602     2.61514     2.61475 3.27667e-05
         603      2.6151     2.61475 3.27174e-05
         604     2.61506     2.61475 3.26672e-05
         605     2.61502     2.61475 3.26163e-05
         606       2.615     2.61475  3.2565e-05
         607     2.61498     2.61475 3.25134e-05
         608     2.61497     2.61475 3.24618e-05
         609     2.61495     2.61475 3.24101e-05
         610     2.61494     2.61475 3.23584e-05
         611     2.61493     2.61476 3.23068e-05
         612     2.61493     2.61476 3.22552e-05
         613     2.61492     2.61476 3.22037e-05
         614     2.61492     2.61476 3.21523e-05
         615     2.61491     2.61476  3.2101e-05
         616     2.61491     2.61476 3.20499e-05
         617     2.61491     2.61476 3.19989e-05
         618     2.61491     2.61476 3.19481e-05
         619     2.61491     2.61476 3.18975e-05
         620     2.61491     2.61476  3.1847e-05
         621     2.61492     2.61476 3.17968e-05
         622     2.61492     2.61476 3.17468e-05
         623     2.61492     2.61476 3.16969e-05
         624     2.61493     2.61476 3.16473e-05
         625     2.61494     2.61476 3.15979e-05
         626     2.61494     2.61476 3.15488e-05
         627     2.61496     2.61476 3.15001e-05
         628     2.61497     2.61476 3.14518e-05
         629     2.61499     2.61476 3.14039e-05
         630     2.61501     2.61476 3.13567e-05
         631     2.61504     2.61476 3.13102e-05
