# Generation Best_Length AvgBestHalf
1146 66.3358 70.5139
1147 66.3358 70.5139
1148 66.3358 70.5139
1149 66.3358 70.5139
1150 66.3358 70.5139
1151 66.3358 70.5139
1152 66.3358 70.5139
1153 66.3358 70.5139
1154 66.3358 70.5139
1155 66.3358 70.5139
1156 66.3358 70.5139
1157 66.3358 70.5139
1158 66.3358 70.5139
1159 66.3358 70.5139
1160 66.3358 70.5139
1161 66.3358 70.5139
1162 66.3358 70.5139
1163 66.3358 70.5139
1164 66.3358 70.5139
1165 66.3358 70.5139
1166 66.3358 70.5139
1167 66.3358 70.5139
1168 66.3358 70.5139
1169 66.3358 70.5139
1170 66.3358 70.5139
