#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         655     1.96391     1.95889 0.000877171
         656     1.96362      1.9589 0.000875863
         657     1.96331     1.95891 0.000874556
         658     1.96298     1.95891 0.000873249
         659     1.96263     1.95892 0.000871942
         660     1.96226     1.95892 0.000870635
         661     1.96187     1.95893 0.000869329
         662     1.96146     1.95893 0.000868025
         663     1.96103     1.95894 0.000866721
         664     1.96058     1.95894 0.000865419
         665     1.96011     1.95894  0.00086412
         666     1.95962     1.95894 0.000862823
         667     1.95911     1.95894 0.000861529
         668     1.95857     1.95894  0.00086024
         669     1.95801     1.95894 0.000858955
         670     1.95743     1.95894 0.000857676
         671     1.95682     1.95893 0.000856404
         672     1.95618     1.95893 0.000855139
         673     1.95552     1.95892 0.000853884
         674     1.95483     1.95892 0.000852638
         675     1.95412     1.95891 0.000851405
         676     1.95337      1.9589 0.000850185
         677      1.9526     1.95889  0.00084898
         678     1.95179     1.95888 0.000847792
         679     1.95095     1.95887 0.000846624
         680     1.95008     1.95886 0.000845478
         681     1.94917     1.95884 0.000844356
         682     1.94823     1.95883 0.000843262
         683     1.94725     1.95881 0.000842197
         684     1.94624     1.95879 0.000841167
         685     1.94519     1.95877 0.000840173
         686     1.94411     1.95875  0.00083922
         687       1.943     1.95873 0.000838312
         688     1.94185      1.9587 0.000837452
         689     1.94067     1.95868 0.000836646
         690     1.93946     1.95865 0.000835897
         691     1.93823     1.95862  0.00083521
         692     1.93697     1.95859 0.000834589
         693      1.9357     1.95856 0.000834038
         694     1.93441     1.95852 0.000833562
         695     1.93312     1.95849 0.000833164
         696     1.93182     1.95845 0.000832847
         697     1.93054     1.95841 0.000832614
         698     1.92927     1.95837 0.000832466
         699     1.92803     1.95832 0.000832406
         700     1.92682     1.95828 0.000832432
         701     1.92566     1.95823 0.000832544
         702     1.92456     1.95818 0.000832739
         703     1.92352     1.95813 0.000833013
         704     1.92256     1.95808  0.00083336
         705      1.9217     1.95803 0.000833775
         706     1.92093     1.95798 0.000834249
         707     1.92027     1.95793 0.000834772
         708     1.91973     1.95787 0.000835334
         709     1.91932     1.95782 0.000835923
         710     1.91905     1.95776 0.000836527
         711     1.91891     1.95771 0.000837134
         712     1.91891     1.95765 0.000837729
         713     1.91906      1.9576 0.000838301
         714     1.91935     1.95755 0.000838836
         715     1.91978     1.95749 0.000839324
         716     1.92035     1.95744 0.000839753
         717     1.92105     1.95739 0.000840114
         718     1.92188     1.95734 0.000840399
         719     1.92282     1.95729 0.000840601
         720     1.92386     1.95725 0.000840715
         721       1.925      1.9572 0.000840737
         722     1.92623     1.95716 0.000840667
         723     1.92752     1.95712 0.000840503
         724     1.92888     1.95708 0.000840246
         725     1.93029     1.95704   0.0008399
         726     1.93173     1.95701 0.000839466
         727      1.9332     1.95697  0.00083895
