#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         586   -0.351062   -0.361863  0.00110403
         587   -0.349893   -0.361843  0.00110234
         588   -0.348755   -0.361821  0.00110069
         589   -0.347659   -0.361797  0.00109908
         590   -0.346609   -0.361771  0.00109752
         591   -0.345611   -0.361744  0.00109601
         592   -0.344666   -0.361715  0.00109453
         593   -0.343775   -0.361685  0.00109311
         594   -0.342941   -0.361653  0.00109172
         595   -0.342166    -0.36162  0.00109038
         596   -0.341447   -0.361586  0.00108907
         597   -0.340793   -0.361552  0.00108781
         598   -0.340191   -0.361516  0.00108657
         599   -0.339645   -0.361479  0.00108537
         600    -0.33915   -0.361442   0.0010842
         601   -0.338703   -0.361404  0.00108306
         602   -0.338295   -0.361366  0.00108194
         603   -0.337927   -0.361327  0.00108084
         604   -0.337602   -0.361288  0.00107977
         605   -0.337307   -0.361248  0.00107871
         606   -0.337034   -0.361208  0.00107767
         607   -0.336781   -0.361168  0.00107664
         608   -0.336541   -0.361127  0.00107564
         609   -0.336323   -0.361087  0.00107464
         610   -0.336115   -0.361046  0.00107366
         611   -0.335913   -0.361005  0.00107269
         612   -0.335722   -0.360963  0.00107173
         613   -0.335536   -0.360922  0.00107078
         614   -0.335348    -0.36088  0.00106985
         615   -0.335165   -0.360838  0.00106893
         616   -0.334977   -0.360796  0.00106802
         617   -0.334786   -0.360754  0.00106712
         618   -0.334598   -0.360712  0.00106623
         619   -0.334409   -0.360669  0.00106535
         620   -0.334216   -0.360627  0.00106449
         621   -0.334017   -0.360584  0.00106364
         622   -0.333821   -0.360541   0.0010628
         623   -0.333618   -0.360498  0.00106197
         624   -0.333409   -0.360454  0.00106115
         625   -0.333193   -0.360411  0.00106035
         626   -0.332968   -0.360367  0.00105956
         627   -0.332731   -0.360323  0.00105879
         628   -0.332476   -0.360278  0.00105803
         629   -0.332207   -0.360234  0.00105729
         630   -0.331911   -0.360189  0.00105657
         631   -0.331588   -0.360143  0.00105587
         632   -0.331227   -0.360098  0.00105519
         633   -0.330833   -0.360051  0.00105453
         634   -0.330389   -0.360005  0.00105391
         635   -0.329901   -0.359957  0.00105331
         636   -0.329354   -0.359909  0.00105275
         637   -0.328749    -0.35986  0.00105224
         638   -0.328078    -0.35981  0.00105177
         639   -0.327333    -0.35976  0.00105135
         640   -0.326511   -0.359708  0.00105099
         641   -0.325609   -0.359654  0.00105069
         642   -0.324616     -0.3596  0.00105047
         643   -0.323538   -0.359544  0.00105034
         644   -0.322368   -0.359486  0.00105029
         645   -0.321103   -0.359427  0.00105035
         646   -0.319742   -0.359365  0.00105052
         647   -0.318285   -0.359302  0.00105081
         648   -0.316738   -0.359236  0.00105124
         649   -0.315097   -0.359168  0.00105182
         650    -0.31337   -0.359097  0.00105256
         651   -0.311555   -0.359024  0.00105347
         652   -0.309663   -0.358949  0.00105457
         653   -0.307693    -0.35887  0.00105587
         654    -0.30566   -0.358789  0.00105739
         655   -0.303566   -0.358705  0.00105913
         656   -0.301428   -0.358617  0.00106111
         657   -0.299249   -0.358527  0.00106333
